logged_at,work_item,status,details,provider_invoked,network_invoked,email_invoked,c7_invoked,smtp_config_read,broker_invoked,order_code_created,canonical_effect
2026-07-25T01:24:44-04:00,architecture_hardening,passed,"per-ticker analyst committee critic and deterministic adjudication implemented",false,false,false,false,false,false,false,false
2026-07-25T01:24:44-04:00,full_python_suite,passed,"152 of 152 tests passed",false,false,false,false,false,false,false,false
2026-07-25T01:24:44-04:00,offline_golden_matrix,passed,"12 of 12 cases passed",false,false,false,false,false,false,false,false
2026-07-25T01:24:44-04:00,shadow_boundary,passed,"fixture-only boundary verifier passed",false,false,false,false,false,false,false,false
2026-07-25T01:24:44-04:00,current_packet,passed,"packet 5275034310a2eb697433d02e1f20ec0235c453008605c6561f7bd5009ca06d1d with 7 entities and 81 sources",false,false,false,false,false,false,false,false
2026-07-25T01:24:44-04:00,return_objective,passed,"rolling five-year 12 to 15 percent objective; no quota guarantee or risk override",false,false,false,false,false,false,false,false
2026-07-25T01:24:44-04:00,daily_scheduler,passed,"daily refresh and daily decision loaded; legacy schedulers unloaded",false,false,false,false,false,false,false,false
2026-07-25T01:24:44-04:00,replay_corpus,blocked_expected,"real SEC corpus absent 0 of 250 and 0 of 20 issuer floor; read-only check wrote nothing",false,false,false,false,false,false,false,false
2026-07-25T01:24:44-04:00,provider_replay,not_run,"requires corpus annotations explicit external-inference authorization and cost cap",false,false,false,false,false,false,false,false
2026-07-25T01:24:44-04:00,llm_activation,blocked_expected,"receipt absent; scheduler unloaded and not installed",false,false,false,false,false,false,false,false
2026-07-25T03:00:19-04:00,final_full_python_suite,passed,"204 of 204 tests passed",false,false,false,false,false,false,false,false
2026-07-25T03:00:19-04:00,live_shadow_recovery_boundary,passed,"38 of 38 tests passed; terminal invalid output role receipts atomic completion and crash recovery verified",false,false,false,false,false,false,false,false
2026-07-25T03:00:19-04:00,provider_replay_attempt_integrity,passed,"21 of 21 runner tests passed; physical attempt ledger and cumulative ceilings verified",false,false,false,false,false,false,false,false
2026-07-25T03:00:19-04:00,provider_gate_activation,passed,"31 of 31 gate and activation tests passed",false,false,false,false,false,false,false,false
2026-07-25T03:00:19-04:00,independent_final_audit,passed,"no blockers; no live provider email SMTP broker order or canonical effect",false,false,false,false,false,false,false,false
2026-07-25T04:38:42-04:00,c9_per_ticker_model_authority,passed,"hidden role-aware allowed classification map enforced after semantic formation; disallowed proposals downgrade fail-closed",false,false,false,false,false,false,false,false
2026-07-25T04:38:42-04:00,qualification_hard_floor,passed,"250 packets and 20 distinct issuers are non-lowerable across registry loader annotation verifier and inventory; padding issuers excluded",false,false,false,false,false,false,false,false
