relative_path,workflow_phase,reads_positions,reads_position_pct,reads_shares,reads_market_price,reads_account_total,writes_concentration,writes_action_label,writes_email_content,c9_dependency_role,migration_required,notes
05_risk_and_positions/current_positions.local.csv,C4-C9,no,no,no,no,no,no,no,no,canonical_shares_and_entry_input,semantic_change,"C9 reads shares/entry data; stored position_pct becomes historical reference."
05_risk_and_positions/current_account_state.local.json,C9,no,no,no,no,no,no,no,no,future_account_total_cash_external_cash_input,create_in_C9,"Proposed only; not created in C9A."
03_source_data/phase5r/phase5r_b2_market_data_snapshot.csv,B2-C9,no,no,no,no,no,no,no,no,canonical_current_price_input,no,"Require held-ticker match freshness quality and provenance."
09_scripts/phase5r/validate_phase5r_c4_position_state.py,C4,yes,yes,no,no,no,yes,no,no,position_and_account_validation,migrate,"Currently derives sleeve and cash from stored position_pct."
05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,C4,no,no,no,no,no,no,no,no,validated_portfolio_state_output,regenerate,"Current output contains stale sleeve/cash/breach state."
09_scripts/phase5r/refresh_phase5r_c4r_current_position_intake.py,C4R,yes,yes,yes,no,yes,yes,yes,no,current_weight_and_concentration_engine,migrate,"Account total is a hardcoded constant rather than a canonical input."
05_risk_and_positions/phase5r_c4r_current_position_validation.csv,C4R,no,no,no,no,no,no,no,no,structural_position_validation_output,review,"Position_pct validation semantics must become historical/reference."
05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv,C4R,no,no,no,no,no,no,no,no,canonical_recalculated_concentration_output,regenerate,"Primary downstream portfolio-state input."
05_risk_and_positions/phase5r_c4r_position_review_queue.csv,C4R,no,no,no,no,no,no,no,no,current_position_review_queue_output,regenerate,"Weights/statuses/reasons must be dynamic."
05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md,C4R,no,no,no,no,no,no,no,no,human_readable_account_summary,regenerate,"Must show account and price provenance."
09_scripts/phase5r/create_phase5r_c5_research_queue.py,C5,yes,yes,no,no,no,yes,yes,no,research_order_and_portfolio_context,migrate,"Current candidate sleeve status is hardcoded."
04_research/realtime_stock_picker_phase5r/phase5r_c5_research_queue.csv,C5,no,no,no,no,no,no,no,no,weekly_research_queue_output,regenerate,"Preserve research cap and current-position-first policy."
09_scripts/phase5r/create_phase5r_c5_company_research_packets.py,C5,yes,yes,no,yes,no,yes,yes,no,mixed_research_and_portfolio_fit_generator,migrate,"Preserve fresh evidence; rebuild risk fit and label fields."
04_research/realtime_stock_picker_phase5r/phase5r_c5_company_research_packets.csv,C5,no,no,no,no,no,no,no,no,mixed_evidence_and_portfolio_fit_output,regenerate,"Public evidence mostly reusable; portfolio fields are stale."
09_scripts/phase5r/score_phase5r_c5_weekly_conviction.py,C5,no,yes,no,no,no,yes,yes,no,portfolio_fit_score_and_label_engine,migrate,"Reads stale C4R position_pct/status."
04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv,C5,no,no,no,no,no,no,no,no,weekly_score_output,regenerate,"Portfolio-fit component affects total score and labels."
04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv,C5,no,no,no,no,no,no,no,no,current_position_action_output,regenerate,"Current weights and trim labels stale."
04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv,C5,no,no,no,no,no,no,no,no,candidate_action_and_cash_deployment_output,regenerate,"Must incorporate current available cash and account-aware fit."
09_scripts/phase5r/create_phase5r_c5_weekly_conviction_memo.py,C5,no,yes,no,no,no,yes,yes,no,weekly_decision_narrative_generator,migrate,"Hardcoded concentration claims must be removed."
04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_memo.md,C5,no,no,no,no,no,no,no,no,weekly_decision_narrative_output,regenerate,"Must reflect C9 weights/actions."
09_scripts/phase5r/create_phase5r_c5t_trim_scenarios.py,C5T,yes,yes,yes,yes,yes,yes,no,no,account_aware_share_and_dollar_scenario_engine,migrate,"Currently parses notes and falls back to 1000."
05_risk_and_positions/phase5r_c5t_trim_scenario_table.csv,C5T,no,no,no,no,no,no,no,no,share_dollar_cash_scenario_output,regenerate,"All current scenario numbers are stale."
09_scripts/phase5r/create_phase5r_c5t_manual_action_plan.py,C5T,yes,yes,yes,yes,yes,yes,yes,no,manual_action_plan_generator,migrate,"Reads mixed local and stale scenario baselines."
05_risk_and_positions/phase5r_c5t_hold_vs_trim_checklist.csv,C5T,no,no,no,no,no,no,no,no,manual_decision_checklist_output,regenerate,"Policy threshold wording can remain."
05_risk_and_positions/phase5r_c5t_next_review_triggers.csv,C5T,no,no,no,no,no,no,no,no,account_and_position_trigger_output,regenerate,"Refresh baselines and add reconciliation/cash triggers."
05_risk_and_positions/phase5r_c5t_manual_action_plan.md,C5T,no,no,no,no,no,no,no,no,selected_manual_action_output,regenerate,"Current no-action scenario is not C9 truth."
09_scripts/phase5r/create_phase5r_c6_weekly_email_brief.py,C6,yes,yes,yes,yes,yes,yes,yes,yes,account_aware_email_composer,migrate,"Must validate C9 provenance and never trust stored position_pct."
07_automation/email_briefs/phase5r_c6_weekly_email_body.txt,C6,no,no,no,no,no,no,no,no,plain_text_email_output,regenerate,"Current body contains stale weights and scenarios."
07_automation/email_briefs/phase5r_c6_weekly_email_body.html,C6,no,no,no,no,no,no,no,no,html_email_output,regenerate,"Regenerate with plain text."
07_automation/email_briefs/phase5r_c6_email_metadata.csv,C6,no,no,no,no,no,no,no,no,email_provenance_and_delivery_metadata,regenerate,"Must point only to C9-verified sources."
09_scripts/phase5r/run_phase5r_c7_weekly_conviction_pipeline.py,C7,yes,yes,yes,yes,yes,yes,yes,yes,C9_orchestrator_and_delivery_boundary,migrate,"Do not run until all child stages are C9-aware and verified."
00_project_control/phase5r_c7_pipeline_status_report.md,C7,no,no,no,no,no,no,no,no,latest_pipeline_status_output,regenerate,"Current status describes pre-C9 stages."
04_research/realtime_stock_picker_phase5r/phase5r_c7_pipeline_report.md,C7,no,no,no,no,no,no,no,no,latest_pipeline_research_output,regenerate,"Regenerate after inhibited C9 orchestration verification."
09_scripts/phase5r/run_phase5r_d3_weekly_catchup.py,D3,no,no,no,no,no,no,no,no,scheduler_gate_for_c7,guard_complete,"C9A inhibit branch prevents C7 invocation and email."
07_automation/scheduler/phase5r_c9_maintenance_inhibit.local.json,D3-C9,no,no,no,no,no,no,no,no,local_fail_closed_migration_gate,active,"active=true reason=phase5r_c9_migration allowed_pipeline=none."
