trigger_id,ticker_or_portfolio,trigger_category,condition_to_review,current_baseline,review_response,urgency,next_review_date,human_decision_needed,automatic_action_allowed
1,IOT,thesis_deterioration,"A material customer, product, competitive, governance, or business-quality change weakens the documented thesis.",score=6.54; position_pct=29.59,Reassess hold versus trim review; use exit review only if the thesis is materially impaired.,event_review,2026-07-16,yes,no
2,IOT,earnings_risk,"Official earnings, guidance, filing, or material news changes the expected earnings path.",score=6.54; position_pct=29.59,Refresh the evidence packet and reconsider the weekly label.,event_review,2026-07-16,yes,no
3,IOT,score_drop,Weekly conviction score falls by at least 1.0 point or below 5.5.,score=6.54; position_pct=29.59,Review which score component changed before considering a different label.,next_weekly_review,2026-07-16,yes,no
4,IOT,concentration_still_above_cap,Position remains above 8% at the next review.,score=6.54; position_pct=29.59,Compare the scenario table again and document the manual decision.,next_weekly_review,2026-07-16,yes,no
5,IOT,public_market_data_missing,Reference price or public market data is unavailable or stale.,score=6.54; position_pct=29.59,Pause scenario use until current public data is independently confirmed.,before_any_decision,2026-07-16,yes,no
6,IOT,price_gap_up_down,Public price gaps at least 8% from the prior close or weekly reference.,score=6.54; position_pct=29.59,Review the cause and updated concentration; do not react to price movement alone.,event_review,2026-07-16,yes,no
7,RBRK,thesis_deterioration,"A material customer, product, competitive, governance, or business-quality change weakens the documented thesis.",score=6.65; position_pct=17.75,Reassess hold versus trim review; use exit review only if the thesis is materially impaired.,event_review,2026-07-16,yes,no
8,RBRK,earnings_risk,"Official earnings, guidance, filing, or material news changes the expected earnings path.",score=6.65; position_pct=17.75,Refresh the evidence packet and reconsider the weekly label.,event_review,2026-07-16,yes,no
9,RBRK,score_drop,Weekly conviction score falls by at least 1.0 point or below 5.5.,score=6.65; position_pct=17.75,Review which score component changed before considering a different label.,next_weekly_review,2026-07-16,yes,no
10,RBRK,concentration_still_above_cap,Position remains above 8% at the next review.,score=6.65; position_pct=17.75,Compare the scenario table again and document the manual decision.,next_weekly_review,2026-07-16,yes,no
11,RBRK,public_market_data_missing,Reference price or public market data is unavailable or stale.,score=6.65; position_pct=17.75,Pause scenario use until current public data is independently confirmed.,before_any_decision,2026-07-16,yes,no
12,RBRK,price_gap_up_down,Public price gaps at least 8% from the prior close or weekly reference.,score=6.65; position_pct=17.75,Review the cause and updated concentration; do not react to price movement alone.,event_review,2026-07-16,yes,no
13,PORTFOLIO,active_sleeve_still_above_target,Combined active sleeve remains above 30%.,active_sleeve=47.34%; target=30.00%,Keep new sizing reviews constrained and revisit concentration scenarios.,next_weekly_review,2026-07-16,yes,no
14,PORTFOLIO,new_eligible_candidates_appear,One or two eligible candidates appear in next week's research.,current_eligible_candidates=0,Review funding source and portfolio fit before considering any new allocation.,next_weekly_review,2026-07-16,yes,no
