source_path,reason,touch_categories,phase0c_decision,sensitivity,legacy_quarantine_status,blocks_archive_cleanup,notes
01_universe/phase2b_candidate_source_log.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL; touch_categories=risk_rules; sensitivity=MEDIUM,risk_rules,ARCHIVE_EVIDENCE_AFTER_APPROVAL,MEDIUM,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
01_universe/phase2c_selected_candidates.csv,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
01_universe/quarantined_placeholder_rows.csv,phase0c_decision=EXCLUDE_FROM_PHASE5R,,EXCLUDE_FROM_PHASE5R,LOW,no,no,Preserved in place during Phase 0E; no copy/move/delete performed.
01_universe/real_candidate_universe.csv,Blocked: allowlisted source contains IOT/RBRK legacy ticker rows; keep out of canonical Phase 5R inputs for now.,,ALLOW_FOR_PHASE5R,LOW,no,yes,Skipped Phase 0E copy candidate; original preserved in place.
01_universe/rejected.csv,phase0c_decision=EXCLUDE_FROM_PHASE5R,,EXCLUDE_FROM_PHASE5R,LOW,no,no,Preserved in place during Phase 0E; no copy/move/delete performed.
01_universe/test_fixtures.csv,phase0c_decision=EXCLUDE_FROM_PHASE5R,,EXCLUDE_FROM_PHASE5R,LOW,no,no,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/ACMR_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/ALAB_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/AMD_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/ARRY_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
