row_type,metric,count,relative_path,phase5r_decision,blocker_resolution,reason,notes
summary,original_phase0b_blockers,82,,,,Rows with blocks_phase5r=yes in Phase 0B migration map.,
summary,true_start_blockers_after_legacy_quarantine,0,,,,Remaining blockers that must be resolved before Phase 5R can start from the allowlist.,
summary,human_review_before_optional_reuse,2,,,,Optional files that can be reviewed later if Phase 5R chooses to reuse them; they are not in the minimum start set.,
summary,waived_legacy_or_out_of_scope_blockers,69,,,,"Original blockers waived because they are legacy, email/trade/real-position, historical evidence, or local cache.",
summary,cleared_control_or_allowed_blockers,11,,,,Original blockers cleared because they are policy/project controls or allowed safe dependencies.,
summary,minimum_files_needed_before_phase5r_start,23,,,,"Policy/project controls, safe core workflows, and candidate source files in the allowlist.","No old IOT/RBRK holding data, broker connection, or order execution included."
remaining_true_blocker,none,0,,,none_after_reframe,No true start blockers remain after legacy/out-of-scope rows are quarantined and the minimum allowlist is used.,Optional review items are not part of the minimum start set.
human_decision_optional_reuse,human_review_before_optional_reuse,,03_research/company_memo_template.md,ALLOW_AFTER_REVIEW,not_a_start_blocker_review_before_reuse,Generic research framework/template may support Phase 5R after review.,Review before optional reuse; not part of the minimum Phase 5R start set.
human_decision_optional_reuse,human_review_before_optional_reuse,,05_scripts/risk_calculator.py,ALLOW_AFTER_REVIEW,not_a_start_blocker_review_before_reuse,Risk calculator may be useful only after confirming it has no broker/order/real-position side effects.,Review before optional reuse; not part of the minimum Phase 5R start set.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/agent_restructure_phase3c/current_structure_audit.md,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/agent_restructure_phase3c/security_boundary.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/agent_restructure_phase3c/weekly_email_agent_spec.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/email_automation_phase5a/email_send_gate_policy.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/email_automation_phase5a/failure_handling_plan.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/email_automation_phase5a/gmail_dry_run_plan.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/email_automation_phase5a/oauth_security_plan.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/email_draft_agent_phase4b/weekly_email_draft.html,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/email_draft_agent_phase4b/weekly_email_draft.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/email_draft_agent_phase4b/weekly_email_subject.txt,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/email_preflight_phase5b/preflight_rules.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
