relative_path,current_classification,sensitivity,touch_categories,phase_tokens,proposed_new_path,proposed_action,blocks_phase5r,review_reason,approval_question,review_owner_suggestion
.gitignore,KEEP,HIGH,email_drafts,,.gitignore,KEEP_IN_PLACE,yes,Touches email_drafts,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
00_rules/brokerage_boundary.md,KEEP,HIGH,trade_logs,,01_policies/brokerage_boundary.md,COPY_TO_CANONICAL,yes,Touches trade_logs,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
00_rules/manual_approval_policy.md,KEEP,MEDIUM,risk_rules,,01_policies/manual_approval_policy.md,COPY_TO_CANONICAL,yes,Touches risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
00_rules/risk_policy.md,KEEP,MEDIUM,risk_rules,,01_policies/risk_policy.md,COPY_TO_CANONICAL,yes,Touches risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
00_rules/trading_checklist.md,KEEP,MEDIUM,risk_rules,,01_policies/trading_checklist.md,COPY_TO_CANONICAL,yes,Touches risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
01_universe/phase2b_candidate_source_log.md,MIGRATE,MEDIUM,risk_rules,phase2b,02_universe/raw_sources/phase2b_candidate_source_log.md,COPY_TO_CANONICAL,no,Touches risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/agent_restructure_phase3c/current_structure_audit.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;trade_logs;email_drafts;weekly_reviews;risk_rules,phase0;phase2;phase2n;phase2p;phase2q;phase2r;phase3;phase3a;phase3b;phase3c,04_research/agent_restructure_phase3c/current_structure_audit.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches real_positions;trade_logs;email_drafts;weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;email_drafts;sec_alerts;weekly_reviews;risk_rules,phase3;phase3b;phase3c;phase4;phase4b;phase5,04_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches real_positions;email_drafts;sec_alerts;weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/agent_restructure_phase3c/security_boundary.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts;risk_rules,phase3c;phase4;phase5,04_research/agent_restructure_phase3c/security_boundary.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts;sec_alerts;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/agent_restructure_phase3c/weekly_email_agent_spec.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts,phase3c;phase4b;phase5,07_automation/email_drafts/agent_restructure_phase3c/weekly_email_agent_spec.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts;sec_alerts,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/company_memo_template.md,KEEP,MEDIUM,risk_rules,,04_research/templates/company_memo_template.md,COPY_TO_CANONICAL,yes,Touches risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/company_memos_phase2f/IOT_company_memo.md,ARCHIVE,LOW,,phase2e;phase2e1;phase2f,04_research/company_memos/IOT_company_memo.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/company_memos_phase2f/RBRK_company_memo.md,ARCHIVE,LOW,,phase2e;phase2e1;phase2f,04_research/company_memos/RBRK_company_memo.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/email_automation_phase5a/email_send_gate_policy.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;weekly_reviews,phase5a,07_automation/email_drafts/email_automation_phase5a/email_send_gate_policy.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts;weekly_reviews,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/email_automation_phase5a/failure_handling_plan.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts,phase5a,07_automation/email_drafts/email_automation_phase5a/failure_handling_plan.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/email_automation_phase5a/gmail_dry_run_plan.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts;weekly_reviews,phase5a;phase5b;phase5c;phase5d;phase5e;phase5f,07_automation/email_drafts/email_automation_phase5a/gmail_dry_run_plan.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts;sec_alerts;weekly_reviews,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/email_automation_phase5a/oauth_security_plan.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts,phase5a,07_automation/email_drafts/email_automation_phase5a/oauth_security_plan.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/email_draft_agent_phase4b/weekly_email_draft.html,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts;weekly_reviews;risk_rules,phase4b,07_automation/email_drafts/email_draft_agent_phase4b/weekly_email_draft.html,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts;sec_alerts;weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/email_draft_agent_phase4b/weekly_email_draft.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts;weekly_reviews;risk_rules,phase4b,07_automation/email_drafts/email_draft_agent_phase4b/weekly_email_draft.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts;sec_alerts;weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/email_draft_agent_phase4b/weekly_email_subject.txt,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;risk_rules,phase4b,07_automation/email_drafts/email_draft_agent_phase4b/weekly_email_subject.txt,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/email_preflight_phase5b/preflight_rules.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;weekly_reviews,phase5b,07_automation/email_drafts/email_preflight_phase5b/preflight_rules.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts;weekly_reviews,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
