relative_path,current_classification,sensitivity,touch_categories,phase_tokens,proposed_new_path,proposed_action,action_reason,human_approval_required,safe_to_copy_now,safe_to_move_later,safe_to_delete_later,blocks_phase5r,notes
.DS_Store,DELETE_CANDIDATE,LOW,,,(none - local cache cleanup candidate),DELETE_LATER_LOCAL_CACHE_ONLY,Generated local cache or OS metadata; deletion is allowed only in a later cleanup phase.,no,no,no,yes,no,Do not delete in Phase 0B.
.git/HEAD,KEEP,LOW,,,.git/HEAD,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/config,KEEP,LOW,,,.git/config,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/description,KEEP,LOW,,,.git/description,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/applypatch-msg.sample,KEEP,LOW,,,.git/hooks/applypatch-msg.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/commit-msg.sample,KEEP,LOW,,,.git/hooks/commit-msg.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/fsmonitor-watchman.sample,KEEP,LOW,,,.git/hooks/fsmonitor-watchman.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/post-update.sample,KEEP,LOW,,,.git/hooks/post-update.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/pre-applypatch.sample,KEEP,LOW,,,.git/hooks/pre-applypatch.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/pre-commit.sample,KEEP,LOW,,,.git/hooks/pre-commit.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/pre-merge-commit.sample,KEEP,LOW,,,.git/hooks/pre-merge-commit.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/pre-push.sample,KEEP,LOW,,,.git/hooks/pre-push.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/pre-rebase.sample,KEEP,LOW,,,.git/hooks/pre-rebase.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/pre-receive.sample,KEEP,LOW,,,.git/hooks/pre-receive.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/prepare-commit-msg.sample,KEEP,LOW,,,.git/hooks/prepare-commit-msg.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/push-to-checkout.sample,KEEP,LOW,,,.git/hooks/push-to-checkout.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/sendemail-validate.sample,KEEP,LOW,,,.git/hooks/sendemail-validate.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/hooks/update.sample,KEEP,LOW,,,.git/hooks/update.sample,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/info/exclude,KEEP,LOW,,,.git/info/exclude,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/objects/42/5f1ac1077784ebcf2f8127035048708b12987f,KEEP,LOW,,,.git/objects/42/5f1ac1077784ebcf2f8127035048708b12987f,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/objects/4b/825dc642cb6eb9a060e54bf8d69288fbee4904,KEEP,LOW,,,.git/objects/4b/825dc642cb6eb9a060e54bf8d69288fbee4904,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/objects/60/adbe17bd45eee44e0d50b4956539f048e0017f,KEEP,LOW,,,.git/objects/60/adbe17bd45eee44e0d50b4956539f048e0017f,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/objects/65/e813e43fda1a9a86a8b702b45e83c3188a811c,KEEP,LOW,,,.git/objects/65/e813e43fda1a9a86a8b702b45e83c3188a811c,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/objects/66/ebe5260b0fa6cae248577fe0ab3e32000ef807,KEEP,LOW,,,.git/objects/66/ebe5260b0fa6cae248577fe0ab3e32000ef807,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/objects/68/06f17f76e0aa28b689fb3164a585ace9583b3b,KEEP,LOW,,,.git/objects/68/06f17f76e0aa28b689fb3164a585ace9583b3b,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/objects/80/6f63d9b8047e12aeaf066371c9f655ca2f2999,KEEP,LOW,,,.git/objects/80/6f63d9b8047e12aeaf066371c9f655ca2f2999,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.git/refs/codex/turn-diffs/checkpoints/02430b8373d3f93b682c891c41b9a7166cd3eefa3a8489cb5d965eaf7e85eafe/24c0d06aab44d2429ab95e6f2366626cc943dc970977c1328609c0f56f5d3f4c/1783130552306/858148de-9f96-457a-a0b7-17e462a2db85,KEEP,LOW,,,.git/refs/codex/turn-diffs/checkpoints/02430b8373d3f93b682c891c41b9a7166cd3eefa3a8489cb5d965eaf7e85eafe/24c0d06aab44d2429ab95e6f2366626cc943dc970977c1328609c0f56f5d3f4c/1783130552306/858148de-9f96-457a-a0b7-17e462a2db85,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,no,no,no,no,no,
.gitignore,KEEP,HIGH,email_drafts,,.gitignore,KEEP_IN_PLACE,Already in an acceptable canonical/current location.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
00_rules/brokerage_boundary.md,KEEP,HIGH,trade_logs,,01_policies/brokerage_boundary.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
00_rules/data_source_policy.md,KEEP,LOW,,,01_policies/data_source_policy.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
00_rules/manual_approval_policy.md,KEEP,MEDIUM,risk_rules,,01_policies/manual_approval_policy.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
00_rules/risk_policy.md,KEEP,MEDIUM,risk_rules,,01_policies/risk_policy.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
00_rules/source_policy.md,KEEP,LOW,,,01_policies/source_policy.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
00_rules/trading_checklist.md,KEEP,MEDIUM,risk_rules,,01_policies/trading_checklist.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
01_universe/phase2b_candidate_source_log.md,MIGRATE,MEDIUM,risk_rules,phase2b,02_universe/raw_sources/phase2b_candidate_source_log.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,yes,no,no,no,no,Human gate required by Phase0B touch-category rule.
01_universe/phase2c_selected_candidates.csv,MIGRATE,LOW,,phase2b;phase2c,02_universe/selected_candidates.csv,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
01_universe/quarantined_placeholder_rows.csv,MIGRATE,LOW,,phase0b,10_tests/fixtures/quarantined_placeholder_rows.csv,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
01_universe/real_candidate_sources.md,KEEP,LOW,,,02_universe/raw_sources/real_candidate_sources.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
01_universe/real_candidate_universe.csv,KEEP,LOW,,,02_universe/candidate_universe.csv,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
01_universe/rejected.csv,MIGRATE,LOW,,,02_universe/rejected_candidates.csv,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
01_universe/test_fixtures.csv,MIGRATE,LOW,,,10_tests/fixtures/test_fixtures.csv,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
01_universe/universe.csv,KEEP,LOW,,,02_universe/legacy/universe.csv,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/ACMR_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/ACMR_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/ALAB_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/ALAB_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/AMD_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/AMD_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/ARRY_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/ARRY_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/CRSP_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/CRSP_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/CRWV_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/CRWV_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/ENPH_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/ENPH_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/ENVX_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/ENVX_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/FLNC_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/FLNC_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/IOT_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/IOT_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/NVTS_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/NVTS_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/RBRK_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/RBRK_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/RXRX_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/RXRX_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/TEM_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/TEM_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/filing_notes/TSLA_filing_note.md,KEEP,LOW,,,03_source_data/filing_notes/TSLA_filing_note.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/ACMR_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/ACMR_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/ALAB_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/ALAB_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/AMD_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/AMD_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/ARRY_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/ARRY_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/CRSP_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/CRSP_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/CRWV_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/CRWV_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/ENPH_submissions.json,KEEP,LOW,,phase13ga;phase2017de;phase2017pr;phase2018de;phase2018pr;phase8,03_source_data/sec_raw/ENPH_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/ENVX_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/ENVX_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/FLNC_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/FLNC_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/IOT_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/IOT_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/NVTS_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/NVTS_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/RBRK_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/RBRK_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/RXRX_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/RXRX_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/TEM_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/TEM_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
02_filings/sec_raw/TSLA_submissions.json,KEEP,LOW,,,03_source_data/sec_raw/TSLA_submissions.json,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,no,yes,yes,no,no,
03_research/.DS_Store,DELETE_CANDIDATE,LOW,,,(none - local cache cleanup candidate),DELETE_LATER_LOCAL_CACHE_ONLY,Generated local cache or OS metadata; deletion is allowed only in a later cleanup phase.,no,no,no,yes,no,Do not delete in Phase 0B.
03_research/agent_restructure_phase3c/current_structure_audit.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;trade_logs;email_drafts;weekly_reviews;risk_rules,phase0;phase2;phase2n;phase2p;phase2q;phase2r;phase3;phase3a;phase3b;phase3c,04_research/agent_restructure_phase3c/current_structure_audit.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;email_drafts;sec_alerts;weekly_reviews;risk_rules,phase3;phase3b;phase3c;phase4;phase4b;phase5,04_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/agent_restructure_phase3c/security_boundary.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts;risk_rules,phase3c;phase4;phase5,04_research/agent_restructure_phase3c/security_boundary.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/agent_restructure_phase3c/weekly_email_agent_spec.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts,phase3c;phase4b;phase5,07_automation/email_drafts/agent_restructure_phase3c/weekly_email_agent_spec.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/company_memo_template.md,KEEP,MEDIUM,risk_rules,,04_research/templates/company_memo_template.md,COPY_TO_CANONICAL,Preserve source but stage a canonical copy/migration plan.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/company_memos_phase2f/IOT_company_memo.md,ARCHIVE,LOW,,phase2e;phase2e1;phase2f,04_research/company_memos/IOT_company_memo.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
