phase,inferred_status,file_count,scripts,data_files,research_files,reports,policy_files,other_files,referenced_existing_paths,referenced_missing_paths,referenced_other_phases
phase0,historical_or_phase_specific,3,05_scripts/audit_phase3c_agent_restructure.py,,03_research/agent_restructure_phase3c/current_structure_audit.md,07_reviews/phase0_audit_report.md,,,00_rules;00_rules/brokerage_boundary.md;00_rules/manual_approval_policy.md;00_rules/risk_policy.md;00_rules/source_policy.md;00_rules/trading_checklist.md;01_universe;01_universe/rejected.csv;01_universe/universe.csv;02_filings;02_filings/filing_notes;02_filings/sec_raw;03_research;03_research/company_memo_template.md;03_research/paper_execution_decision_phase2q;03_research/paper_execution_phase2r;03_research/paper_plan_drafts_phase2n;03_research/real_position_audit_phase3a;03_research/real_position_monitoring_phase3b;04_data;04_data/phase2r_monitoring_checklist.csv;04_data/phase2r_open_paper_positions.csv;04_data/phase2r_paper_execution_log.csv;04_data/phase3a_real_position_audit.csv;04_data/phase3a_structure_transition_checklist.csv;04_data/phase3b_real_position_inputs_filled_normalized.csv;04_data/phase3b_real_position_log.csv;04_data/phase3b_real_position_risk_review.csv;04_data/phase3b_real_risk_calculation.csv;04_data/phase3b_weekly_monitoring_checklist.csv;05_scripts;05_scripts/make_weekly_report.py;05_scripts/risk_calculator.py;05_scripts/screen_universe.py;05_scripts/update_sec_filings.py;06_trading;06_trading/paper_trades.csv;06_trading/real_trades.csv;07_reviews;07_reviews/latest_real_position_weekly_review.md;07_reviews/monthly_review_template.md;07_reviews/weekly_review_template.md;skills;tests,04_data/email_send_log.csv;04_data/latest_real_position_alerts.csv;04_data/phase2p_*;04_data/phase2q_*;04_data/phase2r_*;07_reviews/email_summary.html;07_reviews/email_summary.md,phase0a;phase0b;phase1;phase2;phase2n;phase2p;phase2q;phase2r;phase3;phase3a;phase3b;phase3c;phase4;phase4a;phase4b;phase5
phase0a,historical_or_phase_specific,4,,,,07_reviews/phase0_audit_report.md;07_reviews/phase0b_phase1a_report.md,,README.md;skills/early-public-equity-research/references/phase_status.md,00_rules;00_rules/brokerage_boundary.md;00_rules/data_source_policy.md;00_rules/manual_approval_policy.md;00_rules/risk_policy.md;00_rules/source_policy.md;00_rules/trading_checklist.md;01_universe;01_universe/quarantined_placeholder_rows.csv;01_universe/rejected.csv;01_universe/universe.csv;02_filings;03_research;03_research/company_memo_template.md;04_data;04_data/screening_results.csv;05_scripts;05_scripts/make_weekly_report.py;05_scripts/risk_calculator.py;05_scripts/screen_universe.py;05_scripts/update_sec_filings.py;06_trading;06_trading/paper_trades.csv;06_trading/real_trades.csv;06_trading/trade_journal.csv;07_reviews;07_reviews/latest_weekly_report.md;07_reviews/monthly_review_template.md;07_reviews/weekly_review_template.md;tests/smoke_tests.py,,phase0;phase0b;phase1;phase1a;phase1b;phase1c;phase1d;phase2a
phase0b,historical_or_phase_specific,5,,01_universe/quarantined_placeholder_rows.csv,,07_reviews/phase0_audit_report.md;07_reviews/phase0b_phase1a_report.md,,README.md;skills/early-public-equity-research/references/phase_status.md,00_rules;00_rules/brokerage_boundary.md;00_rules/data_source_policy.md;00_rules/manual_approval_policy.md;00_rules/risk_policy.md;00_rules/source_policy.md;00_rules/trading_checklist.md;01_universe;01_universe/quarantined_placeholder_rows.csv;01_universe/rejected.csv;01_universe/universe.csv;02_filings;03_research;03_research/company_memo_template.md;04_data;04_data/screening_results.csv;05_scripts;05_scripts/make_weekly_report.py;05_scripts/risk_calculator.py;05_scripts/screen_universe.py;05_scripts/update_sec_filings.py;06_trading;06_trading/paper_trades.csv;06_trading/real_trades.csv;06_trading/trade_journal.csv;07_reviews;07_reviews/latest_weekly_report.md;07_reviews/monthly_review_template.md;07_reviews/weekly_review_template.md;tests/smoke_tests.py,,phase0;phase0a;phase1;phase1a;phase1b;phase1c;phase1d;phase2a
phase1,historical_or_phase_specific,4,,,03_research/sector_frameworks/biotech_framework.md,07_reviews/phase0_audit_report.md;07_reviews/phase2c_sec_fetch_report.md,,README.md,00_rules;00_rules/risk_policy.md;00_rules/source_policy.md;00_rules/trading_checklist.md;01_universe;01_universe/phase2c_selected_candidates.csv;01_universe/real_candidate_universe.csv;01_universe/rejected.csv;01_universe/universe.csv;02_filings;02_filings/filing_notes/ACMR_filing_note.md;02_filings/filing_notes/ALAB_filing_note.md;02_filings/filing_notes/ARRY_filing_note.md;02_filings/filing_notes/CRSP_filing_note.md;02_filings/filing_notes/CRWV_filing_note.md;02_filings/filing_notes/ENVX_filing_note.md;02_filings/filing_notes/FLNC_filing_note.md;02_filings/filing_notes/IOT_filing_note.md;02_filings/filing_notes/NVTS_filing_note.md;02_filings/filing_notes/RBRK_filing_note.md;02_filings/filing_notes/RXRX_filing_note.md;02_filings/filing_notes/TEM_filing_note.md;02_filings/sec_raw/ACMR_submissions.json;02_filings/sec_raw/ALAB_submissions.json;02_filings/sec_raw/ARRY_submissions.json;02_filings/sec_raw/CRSP_submissions.json;02_filings/sec_raw/CRWV_submissions.json;02_filings/sec_raw/ENVX_submissions.json;02_filings/sec_raw/FLNC_submissions.json;02_filings/sec_raw/IOT_submissions.json;02_filings/sec_raw/NVTS_submissions.json;02_filings/sec_raw/RBRK_submissions.json;02_filings/sec_raw/RXRX_submissions.json;02_filings/sec_raw/TEM_submissions.json;03_research;03_research/company_memo_template.md;04_data;05_scripts;05_scripts/make_gpt_packet.py;05_scripts/make_weekly_report.py;05_scripts/risk_calculator.py;05_scripts/screen_universe.py;05_scripts/update_sec_filings.py;06_trading;06_trading/paper_trades.csv;06_trading/real_trades.csv;07_reviews;07_reviews/latest_weekly_report.md;07_reviews/monthly_review_template.md;07_reviews/weekly_review_template.md;tests/smoke_tests.py,,phase0;phase0a;phase0b;phase1a;phase2;phase2b;phase2c;phase2d;phase3
phase1a,historical_or_phase_specific,4,05_scripts/screen_universe.py,,,07_reviews/phase0b_phase1a_report.md,,README.md;skills/early-public-equity-research/references/phase_status.md,00_rules/brokerage_boundary.md;00_rules/data_source_policy.md;00_rules/manual_approval_policy.md;00_rules/risk_policy.md;00_rules/source_policy.md;00_rules/trading_checklist.md;01_universe/quarantined_placeholder_rows.csv;01_universe/rejected.csv;01_universe/universe.csv;03_research/company_memo_template.md;04_data/screening_results.csv;05_scripts/make_weekly_report.py;05_scripts/risk_calculator.py;05_scripts/screen_universe.py;05_scripts/update_sec_filings.py;06_trading/paper_trades.csv;06_trading/real_trades.csv;06_trading/trade_journal.csv;07_reviews/latest_weekly_report.md;tests/smoke_tests.py,,phase0a;phase0b;phase1;phase1b;phase1c;phase1d;phase2a
phase1b,historical_or_phase_specific,4,,,,07_reviews/phase0b_phase1a_report.md;07_reviews/phase1b_dry_run_report.md;07_reviews/phase2a_real_universe_setup_report.md,,skills/early-public-equity-research/references/phase_status.md,00_rules/brokerage_boundary.md;00_rules/data_source_policy.md;00_rules/manual_approval_policy.md;00_rules/risk_policy.md;00_rules/source_policy.md;00_rules/trading_checklist.md;01_universe/quarantined_placeholder_rows.csv;01_universe/real_candidate_sources.md;01_universe/real_candidate_universe.csv;01_universe/rejected.csv;01_universe/test_fixtures.csv;01_universe/universe.csv;03_research/company_memo_template.md;03_research/sector_frameworks/ai_infrastructure_framework.md;03_research/sector_frameworks/biotech_framework.md;03_research/sector_frameworks/clean_tech_framework.md;03_research/sector_frameworks/semiconductor_framework.md;04_data/screening_results.csv;05_scripts/make_weekly_report.py;05_scripts/risk_calculator.py;05_scripts/screen_universe.py;05_scripts/update_sec_filings.py;06_trading/paper_trades.csv;06_trading/real_trades.csv;06_trading/trade_journal.csv;07_reviews/latest_weekly_report.md;07_reviews/phase1b_dry_run_report.md;07_reviews/phase2a_real_universe_setup_report.md;tests/smoke_tests.py,,phase0a;phase0b;phase1a;phase1c;phase1d;phase2a;phase2b
phase1c,historical_or_phase_specific,4,,,,07_reviews/phase1b_dry_run_report.md;07_reviews/phase1c_sec_fetch_report.md;07_reviews/phase1d_gpt_packet_report.md,,skills/early-public-equity-research/references/phase_status.md,01_universe/universe.csv;02_filings/filing_notes/AMD_filing_note.md;02_filings/filing_notes/ENPH_filing_note.md;02_filings/filing_notes/TSLA_filing_note.md;02_filings/sec_raw/AMD_submissions.json;02_filings/sec_raw/ENPH_submissions.json;02_filings/sec_raw/TSLA_submissions.json;03_research/gpt_packets/AMD_gpt_packet.md;03_research/gpt_packets/ENPH_gpt_packet.md;03_research/gpt_packets/TSLA_gpt_packet.md;04_data/screening_results.csv;05_scripts/make_gpt_packet.py;05_scripts/make_weekly_report.py;05_scripts/risk_calculator.py;05_scripts/screen_universe.py;05_scripts/update_sec_filings.py;07_reviews/latest_weekly_report.md;07_reviews/phase1b_dry_run_report.md;tests/smoke_tests.py,,phase0a;phase0b;phase1a;phase1b;phase1d;phase2a
phase1d,historical_or_phase_specific,3,,,,07_reviews/phase1c_sec_fetch_report.md;07_reviews/phase1d_gpt_packet_report.md,,skills/early-public-equity-research/references/phase_status.md,01_universe/universe.csv;02_filings/filing_notes/AMD_filing_note.md;02_filings/filing_notes/ENPH_filing_note.md;02_filings/filing_notes/TSLA_filing_note.md;02_filings/sec_raw/AMD_submissions.json;02_filings/sec_raw/ENPH_submissions.json;02_filings/sec_raw/TSLA_submissions.json;03_research/gpt_packets/AMD_gpt_packet.md;03_research/gpt_packets/ENPH_gpt_packet.md;03_research/gpt_packets/TSLA_gpt_packet.md;04_data/screening_results.csv;05_scripts/make_gpt_packet.py;05_scripts/make_weekly_report.py;05_scripts/risk_calculator.py;05_scripts/screen_universe.py;05_scripts/update_sec_filings.py;07_reviews/latest_weekly_report.md;tests/smoke_tests.py,,phase0a;phase0b;phase1a;phase1b;phase1c;phase2a
phase1e,historical_or_phase_specific,1,,,,07_reviews/phase1e_skill_draft_report.md,,,01_universe/universe.csv;05_scripts/make_weekly_report.py;07_reviews/latest_weekly_report.md;07_reviews/phase1e_skill_draft_report.md;skills/early-public-equity-research/SKILL.md;skills/early-public-equity-research/references/memo_rubric.md;skills/early-public-equity-research/references/phase_status.md;skills/early-public-equity-research/references/red_team_checklist.md;skills/early-public-equity-research/references/source_policy.md;skills/early-public-equity-research/references/workflow.md;tests/smoke_tests.py,,phase2a
phase2,historical_or_phase_specific,7,05_scripts/audit_phase3a_real_position_structure.py;05_scripts/audit_phase3c_agent_restructure.py,04_data/phase3a_structure_transition_checklist.csv,03_research/agent_restructure_phase3c/current_structure_audit.md;03_research/sector_frameworks/biotech_framework.md,07_reviews/phase3a_real_position_structure_audit_report.md;07_reviews/phase3c_agent_restructure_report.md,,,00_rules;00_rules/brokerage_boundary.md;00_rules/manual_approval_policy.md;00_rules/risk_policy.md;01_universe;02_filings;02_filings/filing_notes;02_filings/sec_raw;03_research;03_research/paper_execution_decision_phase2q;03_research/paper_execution_phase2r;03_research/paper_plan_drafts_phase2n;03_research/real_position_audit_phase3a;03_research/real_position_audit_phase3a/IOT_real_position_audit.md;03_research/real_position_audit_phase3a/RBRK_real_position_audit.md;03_research/real_position_monitoring_phase3b;04_data;04_data/phase2p_paper_execution_log.csv;04_data/phase2p_risk_calculator_inputs.csv;04_data/phase2q_execution_decision.csv;04_data/phase2q_manual_execution_inputs_validated.csv;04_data/phase2q_risk_calculator_results.csv;04_data/phase2r_monitoring_checklist.csv;04_data/phase2r_open_paper_positions.csv;04_data/phase2r_paper_execution_log.csv;04_data/phase3a_real_position_audit.csv;04_data/phase3a_structure_transition_checklist.csv;04_data/phase3b_real_position_inputs_filled.csv;04_data/phase3b_real_position_inputs_filled_normalized.csv;04_data/phase3b_real_position_log.csv;04_data/phase3b_real_position_risk_review.csv;04_data/phase3b_real_risk_calculation.csv;04_data/phase3b_weekly_monitoring_checklist.csv;05_scripts;05_scripts/audit_phase3a_real_position_structure.py;05_scripts/update_sec_filings.py;06_trading;07_reviews;07_reviews/latest_real_position_weekly_review.md;07_reviews/phase3a_real_position_structure_audit_report.md;skills;tests,03_research/paper_monitoring_phase2s;04_data/email_send_log.csv;04_data/latest_real_position_alerts.csv;04_data/phase2p_*;04_data/phase2q_*;04_data/phase2r_*;07_reviews/email_summary.html;07_reviews/email_summary.md,phase0;phase1;phase2n;phase2p;phase2q;phase2r;phase2s;phase3;phase3a;phase3b;phase3c;phase4;phase4a;phase4b;phase5
