workflow_id,workflow_name,status,entrypoint_or_path,replacement,active_input_allowed,email_send_allowed,scheduler_allowed,reason
DW-001,Phase 5R-C2 direct daily email sender,retired,11_archive/phase5r_retired_20260831/09_scripts/phase5r/send_phase5r_c2_daily_email.py,09_scripts/phase5r/send_phase5r_daily_email.py,no,no,no,Historical direct sender bypasses the canonical daily decision and ledger.
DW-002,Phase 5R-C3 daily email pipeline,retired,11_archive/phase5r_retired_20260831/09_scripts/phase5r/run_phase5r_c3_daily_email_pipeline.py,09_scripts/phase5r/run_phase5r_daily_decision_pipeline.py,no,no,no,Historical pipeline is replaced by the guarded daily pipeline.
DW-003,Phase 5R-D1 dailybrief scheduler,retired_unloaded,11_archive/phase5r_retired_20260831/07_automation/scheduler/com.steven.phase5r.dailybrief.plist.template,com.steven.phase5r.dailyrefresh;com.steven.phase5r.dailydecision,no,no,no,Old single dailybrief scheduler is retired.
DW-004,Pre-cleanup workspace snapshot,archived_evidence_only,git-tag:phase5r-pre-cleanup-20260831,none,no,no,no,Archived evidence must never become an active input.
DW-005,Old B2 daily preview outputs,context_only,11_archive/phase5r_retired_20260831/08_reviews/current/latest_phase5r_b2_daily_research_preview.md;11_archive/phase5r_retired_20260831/08_reviews/current/latest_phase5r_b2_watchlist.md,03_source_data/phase5r/phase5r_b2_market_data_snapshot.csv,no,no,no,Preview prose cannot override current source data.
DW-006,Phase 5R-C1 daily email composer,retired,11_archive/phase5r_retired_20260831/09_scripts/phase5r/create_phase5r_c1_daily_email_brief.py,09_scripts/phase5r/create_phase5r_daily_decision_and_brief.py,no,no,no,Historical composer is replaced by the canonical daily decision composer.
DW-007,Phase 5R-C6 weekly sender,retired,11_archive/phase5r_retired_20260831/09_scripts/phase5r/send_phase5r_c6_weekly_email.py,09_scripts/phase5r/send_phase5r_daily_email.py,no,no,no,Weekly sender is not authorized by active state.
DW-008,Historical Phase 0 and superseded Phase 5R reports,evidence_only,11_archive/phase5r_retired_20260831/00_project_control/,00_project_control/active_decision_state.yaml,no,no,no,Historical reports remain provenance only.
DW-009,Phase 5R-C5/C7 weekly conviction workflow,retired,11_archive/phase5r_retired_20260831/09_scripts/phase5r/run_phase5r_c7_weekly_conviction_pipeline.py,09_scripts/phase5r/run_phase5r_daily_decision_pipeline.py,no,no,no,Weekly orchestration is superseded by the canonical daily low-attention workflow.
DW-010,Phase 5R-D2 weekly scheduler,retired_unloaded,11_archive/phase5r_retired_20260831/07_automation/scheduler/com.steven.phase5r.weeklyconviction.plist.template,com.steven.phase5r.dailydecision,no,no,no,Weekly scheduler is unloaded and cannot be installed as an active workflow.
DW-011,Phase 5R-D3 weekly catch-up scheduler,retired_unloaded,11_archive/phase5r_retired_20260831/07_automation/scheduler/com.steven.phase5r.weeklycatchup.plist.template,com.steven.phase5r.dailydecision,no,no,no,Catch-up delivery is replaced by daily sender deduplication and wake-time evaluation.
