workflow,script_path,exists_now,entrypoint_status,proposed_new_path,runnable_after_migration,human_approval_required,phase5r_use,blocks_phase5r_until_reviewed,do_not_execute_in_phase0b,notes
candidate_universe_screening,05_scripts/screen_universe.py,yes,active,09_scripts/core/screen_universe.py,yes,no,yes,no,yes,Core universe screening; keep runnable after migration.
financial_enrichment,05_scripts/enrich_candidate_financials.py,yes,active,09_scripts/data_ingestion/enrich_candidate_financials.py,yes,no,yes,no,yes,Candidate data enrichment; no broker/order behavior.
sec_filing_ingestion,05_scripts/update_sec_filings.py,yes,active,09_scripts/data_ingestion/update_sec_filings.py,yes,no,yes,no,yes,"SEC source-data ingestion; may use SEC network, not broker APIs."
gpt_packet_generation,05_scripts/make_gpt_packet.py,yes,active,09_scripts/research_generation/make_gpt_packet.py,yes,no,yes,no,yes,Research packet generation.
weekly_report_generation,05_scripts/make_weekly_report.py,yes,active,09_scripts/research_generation/make_weekly_report.py,yes,no,review_required,yes,yes,General weekly report support.
risk_calculator_workflow,05_scripts/risk_calculator.py,yes,active,09_scripts/risk/risk_calculator.py,yes,yes,review_required,yes,yes,Core risk calculator; human approval required before Phase 5R reliance.
manual_market_data_validation,05_scripts/validate_manual_market_data.py,yes,active,09_scripts/data_ingestion/validate_manual_market_data.py,yes,no,yes,no,yes,Manual market-data validation workflow.
paper_risk_calculator_workflow,05_scripts/run_phase2q_paper_risk_calculator.py,yes,active_reference,09_scripts/risk/run_paper_risk_calculator.py,yes,yes,review_required,yes,yes,Paper risk workflow should remain runnable for regression/reference checks.
manual_execution_input_validation,05_scripts/validate_phase2q_manual_execution_inputs.py,yes,active_reference,09_scripts/risk/validate_manual_execution_inputs.py,yes,yes,review_required,yes,yes,Manual execution input validator; review before Phase 5R because execution language is sensitive.
manual_chart_review_validation,05_scripts/validate_phase2o_manual_chart_review.py,yes,active_reference,09_scripts/risk/validate_manual_chart_review.py,yes,no,reference_only,no,yes,Manual chart validation; keep runnable for historical paper workflow support.
real_position_input_normalization,05_scripts/normalize_phase3b_real_position_inputs.py,yes,sensitive_operational,09_scripts/risk/normalize_real_position_inputs.py,yes,yes,review_required,yes,yes,Current real-position input normalization.
real_position_log_creation,05_scripts/create_phase3b_real_position_log.py,yes,sensitive_operational,09_scripts/risk/create_real_position_log.py,yes,yes,review_required,yes,yes,Current real-position log workflow.
real_position_risk_calculation,05_scripts/calculate_phase3b_real_risk.py,yes,sensitive_operational,09_scripts/risk/calculate_real_position_risk.py,yes,yes,review_required,yes,yes,Current real-position risk calculation.
current_weekly_review_workflow,05_scripts/run_phase4a_weekly_real_position_review.py,yes,sensitive_operational,09_scripts/automation/run_weekly_real_position_review.py,yes,yes,review_required,yes,yes,Current weekly real-position review workflow.
sec_filing_alert_workflow,05_scripts/check_phase4a_sec_filing_alerts.py,yes,sensitive_operational,09_scripts/automation/check_sec_filing_alerts.py,yes,yes,review_required,yes,yes,Current SEC filing alert workflow.
weekly_action_label_workflow,05_scripts/create_phase4a_weekly_action_labels.py,yes,sensitive_operational,09_scripts/automation/create_weekly_action_labels.py,yes,yes,review_required,yes,yes,Weekly action labeling support.
email_draft_workflow,05_scripts/create_phase4b_weekly_email_draft.py,yes,sensitive_operational,09_scripts/automation/create_weekly_email_draft.py,yes,yes,review_required,yes,yes,Email draft generation only; no send behavior approved here.
email_automation_preflight,05_scripts/phase5a_email_automation_preflight.py,yes,sensitive_operational,09_scripts/automation/email_automation_preflight.py,yes,yes,review_required,yes,yes,Email automation gate/preflight planning; no sending approved here.
email_preflight_validator,05_scripts/phase5b_email_preflight_validator.py,yes,sensitive_operational,09_scripts/automation/email_preflight_validator.py,yes,yes,review_required,yes,yes,Recipient/content preflight validator; no sending approved here.
