relative_path,current_proposed_action_from_phase0b,current_blocks_phase5r,touch_categories,sensitivity,phase_tokens,phase5r_decision,reason,allowed_as_phase5r_dependency,quarantine_as_legacy,requires_human_approval_before_migration,can_be_archived_after_approval,can_be_copied_to_canonical_after_approval,notes
.DS_Store,DELETE_LATER_LOCAL_CACHE_ONLY,no,,LOW,,DELETE_LATER_LOCAL_CACHE_ONLY,Generated local cache or OS metadata; can only be removed in a later approved cleanup phase.,no,no,no,no,no,No deletion in Phase 0C.
.git/HEAD,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/config,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/description,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/applypatch-msg.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/commit-msg.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/fsmonitor-watchman.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/post-update.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/pre-applypatch.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/pre-commit.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/pre-merge-commit.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/pre-push.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/pre-rebase.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/pre-receive.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/prepare-commit-msg.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/push-to-checkout.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/sendemail-validate.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/hooks/update.sample,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/info/exclude,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/objects/42/5f1ac1077784ebcf2f8127035048708b12987f,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/objects/4b/825dc642cb6eb9a060e54bf8d69288fbee4904,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/objects/60/adbe17bd45eee44e0d50b4956539f048e0017f,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/objects/65/e813e43fda1a9a86a8b702b45e83c3188a811c,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/objects/66/ebe5260b0fa6cae248577fe0ab3e32000ef807,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/objects/68/06f17f76e0aa28b689fb3164a585ace9583b3b,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/objects/80/6f63d9b8047e12aeaf066371c9f655ca2f2999,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.git/refs/codex/turn-diffs/checkpoints/02430b8373d3f93b682c891c41b9a7166cd3eefa3a8489cb5d965eaf7e85eafe/24c0d06aab44d2429ab95e6f2366626cc943dc970977c1328609c0f56f5d3f4c/1783130552306/858148de-9f96-457a-a0b7-17e462a2db85,KEEP_IN_PLACE,no,,LOW,,EXCLUDE_FROM_PHASE5R,Git internal metadata is not a Phase 5R design/runtime dependency.,no,no,no,no,no,
.gitignore,KEEP_IN_PLACE,yes,email_drafts,HIGH,,KEEP_PROJECT_CONTROL,Top-level documentation or project skill remains a project control.,yes,no,no,no,no,Project control only; no broker or order behavior authorized. Phase 0B blocker cleared by Phase 0C reframe/control decision.
00_rules/brokerage_boundary.md,COPY_TO_CANONICAL,yes,trade_logs,HIGH,,KEEP_POLICY_CONTROL,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",yes,no,no,no,no,Project control only; does not authorize execution or broker connectivity. Phase 0B blocker cleared by Phase 0C reframe/control decision.
00_rules/data_source_policy.md,COPY_TO_CANONICAL,no,,LOW,,KEEP_POLICY_CONTROL,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",yes,no,no,no,no,Project control only; does not authorize execution or broker connectivity.
00_rules/manual_approval_policy.md,COPY_TO_CANONICAL,yes,risk_rules,MEDIUM,,KEEP_POLICY_CONTROL,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",yes,no,no,no,no,Project control only; does not authorize execution or broker connectivity. Phase 0B blocker cleared by Phase 0C reframe/control decision.
00_rules/risk_policy.md,COPY_TO_CANONICAL,yes,risk_rules,MEDIUM,,KEEP_POLICY_CONTROL,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",yes,no,no,no,no,Project control only; does not authorize execution or broker connectivity. Phase 0B blocker cleared by Phase 0C reframe/control decision.
00_rules/source_policy.md,COPY_TO_CANONICAL,no,,LOW,,KEEP_POLICY_CONTROL,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",yes,no,no,no,no,Project control only; does not authorize execution or broker connectivity.
00_rules/trading_checklist.md,COPY_TO_CANONICAL,yes,risk_rules,MEDIUM,,KEEP_POLICY_CONTROL,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",yes,no,no,no,no,Project control only; does not authorize execution or broker connectivity. Phase 0B blocker cleared by Phase 0C reframe/control decision.
01_universe/phase2b_candidate_source_log.md,COPY_TO_CANONICAL,no,risk_rules,MEDIUM,phase2b,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
01_universe/phase2c_selected_candidates.csv,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
01_universe/quarantined_placeholder_rows.csv,COPY_TO_CANONICAL,no,,LOW,phase0b,EXCLUDE_FROM_PHASE5R,Not part of the minimum manual-execution-safe Phase 5R dependency set.,no,no,no,no,no,
01_universe/real_candidate_sources.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_FOR_PHASE5R,Candidate universe/source file can seed Phase 5R screening without using old holding data.,yes,no,no,no,yes,Use as candidate/source data only; do not import old position state.
01_universe/real_candidate_universe.csv,COPY_TO_CANONICAL,no,,LOW,,ALLOW_FOR_PHASE5R,Candidate universe/source file can seed Phase 5R screening without using old holding data.,yes,no,no,no,yes,Use as candidate/source data only; do not import old position state.
01_universe/rejected.csv,COPY_TO_CANONICAL,no,,LOW,,EXCLUDE_FROM_PHASE5R,Not part of the minimum manual-execution-safe Phase 5R dependency set.,no,no,no,no,no,
01_universe/test_fixtures.csv,COPY_TO_CANONICAL,no,,LOW,,EXCLUDE_FROM_PHASE5R,Not part of the minimum manual-execution-safe Phase 5R dependency set.,no,no,no,no,no,
01_universe/universe.csv,COPY_TO_CANONICAL,no,,LOW,,ALLOW_FOR_PHASE5R,Candidate universe/source file can seed Phase 5R screening without using old holding data.,yes,no,no,no,yes,Use as candidate/source data only; do not import old position state.
02_filings/filing_notes/ACMR_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/ALAB_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/AMD_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/ARRY_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/CRSP_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/CRWV_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/ENPH_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
