relative_path,current_role,classification,c9_treatment,activation_gate,notes
00_project_control/active_decision_state.yaml,authoritative workflow state,SUPERSEDE_AFTER_C9,Update active pipeline and dynamic action semantics only after C9 verification,C9 activation approved,Do not change in C9A.
00_project_control/phase5r_c8_allowed_active_inputs.csv,active input registry,SUPERSEDE_AFTER_C9,Replace stale current-run registrations with C9-aware canonical inputs and outputs,C9 activation approved,Do not let stale C4R/C5/C5T/C6 files remain authoritative.
05_risk_and_positions/current_positions.local.csv,shares and entry-data source,ACTIVE_UNCHANGED,Keep shares and entry data active while treating stored position_pct and old note values as historical reference,C9 account contract validated,Must not be modified by C9A.
03_source_data/phase5r/phase5r_b2_market_data_snapshot.csv,canonical public market snapshot,ACTIVE_UNCHANGED,Use as the current-price source subject to freshness and quality validation,C9 price matching passes,Public market-data logic is not denominator-dependent.
05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,C4 position-state summary,REGENERATE_UNDER_C9,Recalculate total weights cash and cap breaches from C9 account state,C9 calculations verified,Current report sums stored position_pct.
05_risk_and_positions/phase5r_c4r_current_position_validation.csv,C4R row validation,NEEDS_REVIEW,Retain structural validation but change position_pct semantics from current truth to historical reference,C9 schema migration approved,Share and ticker validation remain useful.
05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv,C4R concentration state,REGENERATE_UNDER_C9,Rebuild from shares current B2 prices and account total,C9 calculations verified,Primary stale-denominator source for downstream C5.
05_risk_and_positions/phase5r_c4r_position_review_queue.csv,C4R position review queue,REGENERATE_UNDER_C9,Regenerate current weights statuses and review reasons,C9 concentration report passes,Current labels derive from stale weights.
05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md,C4R readable summary,REGENERATE_UNDER_C9,Regenerate account cash sleeve weights and wording,C9 concentration report passes,Current summary states 1000 USD and 47.34%.
04_research/realtime_stock_picker_phase5r/phase5r_c5_research_queue.csv,C5 research queue,REGENERATE_UNDER_C9,Rebuild ordering reasons and candidate sleeve context from C9 state,C9 concentration report passes,Company research scope can remain.
04_research/realtime_stock_picker_phase5r/phase5r_c5_company_research_packets.csv,mixed company evidence and portfolio-fit packet,REGENERATE_UNDER_C9,Preserve reviewed public evidence fields but recalculate portfolio fit risk wording and labels,C9 queue and evidence freshness pass,Do not discard valid primary-source research.
04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv,C5 weekly scores,REGENERATE_UNDER_C9,Recalculate portfolio-fit component and resulting total labels,C9 packets pass,Non-portfolio score components may remain if evidence is fresh.
04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv,C5 current-position labels,REGENERATE_UNDER_C9,Generate weights concentration status and actions dynamically,C9 scores pass,Current trim_review labels are stale.
04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv,C5 candidate labels,REGENERATE_UNDER_C9,Re-evaluate portfolio fit funding and eligibility under current cash/account state,C9 scores pass,Company research can remain but portfolio action cannot.
04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_memo.md,C5 weekly decision memo,REGENERATE_UNDER_C9,Regenerate all portfolio-weight sleeve action and funding language,C9 recommendations pass,Current memo is concentration-first under stale weights.
05_risk_and_positions/phase5r_c5t_trim_scenario_table.csv,C5T scenario estimates,REGENERATE_UNDER_C9,Replace old-denominator trim table with account-aware deployment and exact share/dollar scenarios,C9 scenario engine verified,Do not use current table for decisions.
05_risk_and_positions/phase5r_c5t_hold_vs_trim_checklist.csv,C5T decision checklist,REGENERATE_UNDER_C9,Refresh baselines and action comparisons from C9 outputs,C9 scenarios pass,Policy thresholds may remain.
05_risk_and_positions/phase5r_c5t_next_review_triggers.csv,C5T trigger state,REGENERATE_UNDER_C9,Refresh position and sleeve baselines plus account/cash triggers,C9 scenarios pass,Current 47.34% baseline is stale.
05_risk_and_positions/phase5r_c5t_manual_action_plan.md,C5T selected plan,REGENERATE_UNDER_C9,Generate account-aware cash and scenario recommendation dynamically,C9 scenarios pass,Current no-action framing is inherited from old denominator.
07_automation/email_briefs/phase5r_c6_weekly_email_subject.txt,C6 email subject,REGENERATE_UNDER_C9,Refresh label counts and decision framing from C9 outputs,C9 C6 composition verification passes,No delivery during regeneration verification.
07_automation/email_briefs/phase5r_c6_weekly_email_body.txt,C6 plain-text body,REGENERATE_UNDER_C9,Regenerate weights sleeve cash scenarios and action language,C9 C6 composition verification passes,Current body publishes stale weights and scenarios.
07_automation/email_briefs/phase5r_c6_weekly_email_body.html,C6 HTML body,REGENERATE_UNDER_C9,Regenerate in lockstep with verified plain text,C9 C6 composition verification passes,Must not diverge from text body.
07_automation/email_briefs/phase5r_c6_email_metadata.csv,C6 brief metadata,REGENERATE_UNDER_C9,Refresh scenario labels counts sources and delivery phase,C9 C6 composition verification passes,Current metadata points to stale source chain.
08_reviews/current/latest_phase5r_c6_weekly_email_preview.md,C6 human preview,REGENERATE_UNDER_C9,Regenerate from the C9 email artifact without sending,C9 C6 composition verification passes,Preview only.
00_project_control/phase5r_c7_pipeline_status_report.md,C7 latest status,REGENERATE_UNDER_C9,Replace with a C9-aware pipeline status after inhibited verification,C9 orchestration verification passes,Current report describes outputs from the pre-C9 chain.
04_research/realtime_stock_picker_phase5r/phase5r_c7_pipeline_report.md,C7 readable pipeline report,REGENERATE_UNDER_C9,Replace with a C9-aware research pipeline report,C9 orchestration verification passes,Current workflow narrative names the old stages.
00_project_control/run_logs/phase5r_c4r_run_log.csv,historical C4R audit record,PRESERVE_HISTORY,Retain old 1000 USD rows as dated history,Never an active financial input,Do not rewrite historical facts.
00_project_control/run_logs/phase5r_c5t_run_log.csv,historical C5T audit record,PRESERVE_HISTORY,Retain old account scenario records as dated history,Never an active financial input,Do not rewrite historical facts.
00_project_control/run_logs/phase5r_c7_weekly_pipeline_run_log.csv,historical C7 step record,PRESERVE_HISTORY,Append future C9-aware runs without rewriting old rows,Never an active financial input,No C7 row was added in C9A.
00_project_control/run_logs/phase5r_d3_catchup_check_log.csv,D3 scheduler decision history,PRESERVE_HISTORY,Preserve already-sent and maintenance-inhibit decisions,Never an active financial input,Maintenance checks may append while C9 is inhibited.
04_research/realtime_stock_picker_phase5r/phase5r_c5_verification_report.md,historical C5 phase verification,PRESERVE_HISTORY,Keep as evidence of the prior run,Never an active financial input,Do not treat historical pass as C9 verification.
