ticker,action_label,entry_zone_reference,invalidation_reference,stop_reference,take_profit_reference,suggested_position_pct,max_loss_pct_of_account,reason,risks,manual_confirmation_required,broker_connection_allowed,real_order_allowed_by_script,old_holding_data_used
NVDA,possible_buy_manual_review,Manual review of current price vs. intraday VWAP/previous close; no automated entry.,"Manual invalidation if catalyst weakens, broad market breaks down, or score falls below watch threshold.",Human-defined stop reference; placeholder max loss cap only.,Human-defined scale/trim reference; no automated target.,1.00,0.20,AI infrastructure dry-run score 7.09 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
ARM,possible_buy_manual_review,Manual review of current price vs. intraday VWAP/previous close; no automated entry.,"Manual invalidation if catalyst weakens, broad market breaks down, or score falls below watch threshold.",Human-defined stop reference; placeholder max loss cap only.,Human-defined scale/trim reference; no automated target.,1.00,0.20,AI infrastructure dry-run score 7.07 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
SMCI,possible_buy_manual_review,Manual review of current price vs. intraday VWAP/previous close; no automated entry.,"Manual invalidation if catalyst weakens, broad market breaks down, or score falls below watch threshold.",Human-defined stop reference; placeholder max loss cap only.,Human-defined scale/trim reference; no automated target.,1.00,0.20,Data centers dry-run score 7.03 using static placeholders.,"Placeholder data only; very_high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
META,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,AI infrastructure dry-run score 6.74 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
VRT,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Data centers dry-run score 6.68 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
AVGO,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,AI infrastructure dry-run score 6.60 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
MU,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,AI infrastructure dry-run score 6.54 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
TSM,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,AI infrastructure dry-run score 6.44 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
AMD,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,AI infrastructure dry-run score 6.42 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
GOOGL,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,AI infrastructure dry-run score 6.27 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
NET,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cybersecurity dry-run score 6.25 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
SNOW,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cloud software dry-run score 6.19 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
AMZN,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cloud software dry-run score 6.18 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
