rank,ticker,company_name,theme,trend_score,volume_score,catalyst_score,quality_score,risk_penalty,total_score,action_label,formula_version,score_explanation
1,NVDA,NVIDIA Corporation,AI infrastructure,8.12,8.60,8.50,9.00,5.50,7.09,possible_buy_manual_review,phase5r_a_static_v1,"Static dry-run score 7.09; trend=8.12, volume=8.60, catalyst=8.50, quality=9.00, risk_penalty=5.50."
2,ARM,Arm Holdings,AI infrastructure,9.08,8.40,8.50,7.50,5.82,7.07,possible_buy_manual_review,phase5r_a_static_v1,"Static dry-run score 7.07; trend=9.08, volume=8.40, catalyst=8.50, quality=7.50, risk_penalty=5.82."
3,SMCI,Super Micro Computer,Data centers,10.00,9.40,7.00,7.50,8.46,7.03,possible_buy_manual_review,phase5r_a_static_v1,"Static dry-run score 7.03; trend=10.00, volume=9.40, catalyst=7.00, quality=7.50, risk_penalty=8.46."
4,META,Meta Platforms,AI infrastructure,6.80,7.60,8.50,9.00,2.50,6.74,watch,phase5r_a_static_v1,"Static dry-run score 6.74; trend=6.80, volume=7.60, catalyst=8.50, quality=9.00, risk_penalty=2.50."
5,VRT,Vertiv Holdings,Data centers,8.36,8.80,7.00,7.50,5.50,6.68,watch,phase5r_a_static_v1,"Static dry-run score 6.68; trend=8.36, volume=8.80, catalyst=7.00, quality=7.50, risk_penalty=5.50."
6,AVGO,Broadcom Inc.,AI infrastructure,6.32,7.60,8.50,9.00,2.50,6.60,watch,phase5r_a_static_v1,"Static dry-run score 6.60; trend=6.32, volume=7.60, catalyst=8.50, quality=9.00, risk_penalty=2.50."
7,MU,Micron Technology,AI infrastructure,7.40,8.20,8.50,7.50,5.50,6.54,watch,phase5r_a_static_v1,"Static dry-run score 6.54; trend=7.40, volume=8.20, catalyst=8.50, quality=7.50, risk_penalty=5.50."
8,TSM,Taiwan Semiconductor Manufacturing Company,AI infrastructure,5.96,7.40,8.50,9.00,2.50,6.44,watch,phase5r_a_static_v1,"Static dry-run score 6.44; trend=5.96, volume=7.40, catalyst=8.50, quality=9.00, risk_penalty=2.50."
9,AMD,Advanced Micro Devices,AI infrastructure,7.16,8.00,8.50,7.50,5.50,6.42,watch,phase5r_a_static_v1,"Static dry-run score 6.42; trend=7.16, volume=8.00, catalyst=8.50, quality=7.50, risk_penalty=5.50."
10,GOOGL,Alphabet Inc.,AI infrastructure,5.72,7.00,8.50,9.00,2.50,6.27,watch,phase5r_a_static_v1,"Static dry-run score 6.27; trend=5.72, volume=7.00, catalyst=8.50, quality=9.00, risk_penalty=2.50."
