scenario_order,scenario_id,ticker,account_value_usd,account_value_source,current_position_pct,current_estimated_value,current_shares,current_reference_price,target_position_pct,target_value,approximate_shares_to_hold,approximate_shares_to_trim,estimated_remaining_position_pct,estimated_cash_released,scenario_total_sleeve_pct,scenario_total_cash_released,concentration_status_after,fractional_shares_assumed,pros,risks,human_decision_needed,automatic_action_allowed
1,no_action_until_next_review,IOT,1000.00,current_positions.local.csv notes,29.59,295.92,8.0000,36.99,29.59,295.92,8.0000,0.0000,29.59,0.00,47.34,0.00,above_hard_cap,no,Preserves exposure and allows the scheduled weekly review to occur.,Both positions remain above the hard cap.,yes,no
1,no_action_until_next_review,RBRK,1000.00,current_positions.local.csv notes,17.75,177.50,2.0000,88.75,17.75,177.50,2.0000,0.0000,17.75,0.00,47.34,0.00,above_hard_cap,no,Preserves exposure and allows the scheduled weekly review to occur.,Both positions remain above the hard cap.,yes,no
2,trim_to_active_stock_sleeve_target_30pct,IOT,1000.00,current_positions.local.csv notes,29.59,295.92,8.0000,36.99,18.75,187.52,5.0694,2.9306,18.75,108.40,30.00,173.42,above_hard_cap,yes,Reduces the combined active sleeve to 30% while preserving current relative weights.,Both positions remain above the 8% hard cap.,yes,no
2,trim_to_active_stock_sleeve_target_30pct,RBRK,1000.00,current_positions.local.csv notes,17.75,177.50,2.0000,88.75,11.25,112.48,1.2674,0.7326,11.25,65.02,30.00,173.42,above_hard_cap,yes,Reduces the combined active sleeve to 30% while preserving current relative weights.,Both positions remain above the 8% hard cap.,yes,no
3,trim_each_position_to_8pct_hard_cap,IOT,1000.00,current_positions.local.csv notes,29.59,295.92,8.0000,36.99,8.00,80.00,2.1627,5.8373,8.00,215.92,16.00,313.42,above_default_cap,yes,Brings each fractional-share estimate to the stated hard cap.,"Large concentration reduction may have tax, timing, and thesis-participation effects.",yes,no
3,trim_each_position_to_8pct_hard_cap,RBRK,1000.00,current_positions.local.csv notes,17.75,177.50,2.0000,88.75,8.00,80.00,0.9014,1.0986,8.00,97.50,16.00,313.42,above_default_cap,yes,Brings each fractional-share estimate to the stated hard cap.,"Large concentration reduction may have tax, timing, and thesis-participation effects.",yes,no
4,trim_each_position_to_6pct_default_cap,IOT,1000.00,current_positions.local.csv notes,29.59,295.92,8.0000,36.99,6.00,60.00,1.6221,6.3779,6.00,235.92,12.00,353.42,within_default_cap,yes,Brings each fractional-share estimate to the default cap and creates the most concentration headroom.,Largest reduction among fractional scenarios and greatest risk of reducing exposure before a favorable move.,yes,no
4,trim_each_position_to_6pct_default_cap,RBRK,1000.00,current_positions.local.csv notes,17.75,177.50,2.0000,88.75,6.00,60.00,0.6761,1.3239,6.00,117.50,12.00,353.42,within_default_cap,yes,Brings each fractional-share estimate to the default cap and creates the most concentration headroom.,Largest reduction among fractional scenarios and greatest risk of reducing exposure before a favorable move.,yes,no
5,whole_share_practical_scenario,IOT,1000.00,current_positions.local.csv notes,29.59,295.92,8.0000,36.99,7.40,73.98,2.0000,6.0000,7.40,221.94,16.27,310.69,above_default_cap,no,Uses whole shares and makes the fractional-share constraint visible.,"One RBRK share is about 8.88% of the assumed account, so retaining one share remains above the hard cap.",yes,no
5,whole_share_practical_scenario,RBRK,1000.00,current_positions.local.csv notes,17.75,177.50,2.0000,88.75,8.88,88.75,1.0000,1.0000,8.88,88.75,16.27,310.69,above_hard_cap,no,Uses whole shares and makes the fractional-share constraint visible.,"One RBRK share is about 8.88% of the assumed account, so retaining one share remains above the hard cap.",yes,no
6,light_trim_review_25pct_of_each_position,IOT,1000.00,current_positions.local.csv notes,29.59,295.92,8.0000,36.99,22.19,221.94,6.0000,2.0000,22.19,73.98,35.51,118.36,above_hard_cap,yes,Provides a gradual 25% reduction comparison without targeting a policy cap immediately.,The active sleeve and both single-stock weights remain above policy limits.,yes,no
6,light_trim_review_25pct_of_each_position,RBRK,1000.00,current_positions.local.csv notes,17.75,177.50,2.0000,88.75,13.31,133.12,1.5000,0.5000,13.31,44.38,35.51,118.36,above_hard_cap,yes,Provides a gradual 25% reduction comparison without targeting a policy cap immediately.,The active sleeve and both single-stock weights remain above policy limits.,yes,no
