workflow,script_path,phase0b_entrypoint_status,phase0b_phase5r_use,phase0c_entrypoint_decision,allowed_as_phase5r_dependency,manual_execution_safe,file_level_phase5r_decision,reason,must_not_execute_in_phase0c,phase5r_scope,notes
candidate_universe_screening,05_scripts/screen_universe.py,active,yes,phase5r_core,yes,yes,ALLOW_FOR_PHASE5R,Core analysis/input workflow allowed for Phase 5R.,yes,manual_execution_only,"No broker connectivity, no order placement, no automated execution."
financial_enrichment,05_scripts/enrich_candidate_financials.py,active,yes,phase5r_core,yes,yes,ALLOW_FOR_PHASE5R,Core analysis/input workflow allowed for Phase 5R.,yes,manual_execution_only,"No broker connectivity, no order placement, no automated execution."
sec_filing_ingestion,05_scripts/update_sec_filings.py,active,yes,phase5r_core,yes,yes,ALLOW_FOR_PHASE5R,Core analysis/input workflow allowed for Phase 5R.,yes,manual_execution_only,"No broker connectivity, no order placement, no automated execution."
gpt_packet_generation,05_scripts/make_gpt_packet.py,active,yes,phase5r_optional,yes,yes,ALLOW_FOR_PHASE5R,Optional safe research/data workflow allowed for Phase 5R.,yes,manual_execution_only,"No broker connectivity, no order placement, no automated execution."
weekly_report_generation,05_scripts/make_weekly_report.py,active,review_required,needs_review,no,review_required,LEGACY_QUARANTINE,Reporting is not part of the minimum realtime picker dependency set.,yes,manual_execution_only_after_review,"No broker connectivity, no order placement, no automated execution."
risk_calculator_workflow,05_scripts/risk_calculator.py,active,review_required,needs_review,no,review_required,ALLOW_AFTER_REVIEW,May be useful but must be reviewed or redesigned for no broker/order/real-position coupling.,yes,manual_execution_only_after_review,"No broker connectivity, no order placement, no automated execution."
manual_market_data_validation,05_scripts/validate_manual_market_data.py,active,yes,phase5r_optional,yes,yes,ALLOW_FOR_PHASE5R,Optional safe research/data workflow allowed for Phase 5R.,yes,manual_execution_only,"No broker connectivity, no order placement, no automated execution."
paper_risk_calculator_workflow,05_scripts/run_phase2q_paper_risk_calculator.py,active_reference,review_required,exclude,no,no,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Email, execution, or paper-trade workflow is out of Phase 5R scope.",yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
manual_execution_input_validation,05_scripts/validate_phase2q_manual_execution_inputs.py,active_reference,review_required,exclude,no,no,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Email, execution, or paper-trade workflow is out of Phase 5R scope.",yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
manual_chart_review_validation,05_scripts/validate_phase2o_manual_chart_review.py,active_reference,reference_only,legacy_only,no,no,ARCHIVE_EVIDENCE_AFTER_APPROVAL,Historical paper workflow support only.,yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
real_position_input_normalization,05_scripts/normalize_phase3b_real_position_inputs.py,sensitive_operational,review_required,legacy_only,no,no,LEGACY_QUARANTINE,Existing real-position/alert workflow is legacy IOT/RBRK context.,yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
real_position_log_creation,05_scripts/create_phase3b_real_position_log.py,sensitive_operational,review_required,legacy_only,no,no,LEGACY_QUARANTINE,Existing real-position/alert workflow is legacy IOT/RBRK context.,yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
real_position_risk_calculation,05_scripts/calculate_phase3b_real_risk.py,sensitive_operational,review_required,legacy_only,no,no,LEGACY_QUARANTINE,Existing real-position/alert workflow is legacy IOT/RBRK context.,yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
current_weekly_review_workflow,05_scripts/run_phase4a_weekly_real_position_review.py,sensitive_operational,review_required,legacy_only,no,no,EXCLUDE_FROM_PHASE5R,Existing real-position/alert workflow is legacy IOT/RBRK context.,yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
sec_filing_alert_workflow,05_scripts/check_phase4a_sec_filing_alerts.py,sensitive_operational,review_required,legacy_only,no,no,LEGACY_QUARANTINE,Existing real-position/alert workflow is legacy IOT/RBRK context.,yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
weekly_action_label_workflow,05_scripts/create_phase4a_weekly_action_labels.py,sensitive_operational,review_required,legacy_only,no,no,LEGACY_QUARANTINE,Existing real-position/alert workflow is legacy IOT/RBRK context.,yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
email_draft_workflow,05_scripts/create_phase4b_weekly_email_draft.py,sensitive_operational,review_required,exclude,no,no,EXCLUDE_FROM_PHASE5R,"Email, execution, or paper-trade workflow is out of Phase 5R scope.",yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
email_automation_preflight,05_scripts/phase5a_email_automation_preflight.py,sensitive_operational,review_required,exclude,no,no,EXCLUDE_FROM_PHASE5R,"Email, execution, or paper-trade workflow is out of Phase 5R scope.",yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
email_preflight_validator,05_scripts/phase5b_email_preflight_validator.py,sensitive_operational,review_required,exclude,no,no,EXCLUDE_FROM_PHASE5R,"Email, execution, or paper-trade workflow is out of Phase 5R scope.",yes,not_phase5r_dependency,"No broker connectivity, no order placement, no automated execution."
