relative_path,file_type,active_or_historical,stale_value_or_logic,current_usage,financial_impact,must_change_for_c9,recommended_action,notes
00_project_control/active_decision_state.yaml,control_state,active,"primary_decision=no_action_until_next_review and active_pipeline=phase5r_c7 select the pre-C9 output chain",Authorizes C6/C7 and D3 workflow,"Could publish an action inherited from obsolete weights",yes,SUPERSEDE_AFTER_C9,"Do not change until C9 verification; D3 is inhibited meanwhile."
00_project_control/phase5r_c8_allowed_active_inputs.csv,control_registry,active,"Registers old C4R C5 C5T C6 and C7 artifacts as current_run active inputs",Controls allowed active readers,"Allows stale-denominator artifacts to remain authoritative",yes,SUPERSEDE_AFTER_C9,"B2 public-data entries can remain active."
05_risk_and_positions/current_positions.local.csv,local_input,active,"1000 USD notes; IOT 29.59%; RBRK 17.75%; stored trim_review actions; position_pct treated as current",Only current holdings source,"All current weights concentration cash estimates and actions inherit the old denominator",yes,PRESERVE_SHARES_IGNORE_STORED_WEIGHT,"C9A did not modify this file; use shares and entry data only under C9."
05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,generated_csv,active,"47.34% total sleeve and 52.66% cash derived by summing stored position_pct",C4 validation summary,"False concentration and cash state under the proposed account total",yes,REGENERATE_UNDER_C9,"Policy caps are not stale; the measured state is."
05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv,generated_csv,active,"1000 USD; IOT 29.59%; RBRK 17.75%; sleeve 47.34%; cash 526.60 USD",Authoritative C4R concentration input to C5/C5T/C7,"Primary stale denominator propagates into scores labels scenarios and email",yes,REGENERATE_UNDER_C9,"Recalculate from shares current B2 price and account state."
05_risk_and_positions/phase5r_c4r_position_review_queue.csv,generated_csv,active,"29.59% and 17.75% weights with above_hard_cap trim-review reasons",C5 weekly position queue,"Prioritization and action framing may be wrong",yes,REGENERATE_UNDER_C9,"Keep weekly-review boundary."
05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md,generated_markdown,active,"1000 USD; 47.34% sleeve; 52.66% cash; old weights and hard-cap count",Human-readable C4R summary,"Communicates obsolete portfolio state",yes,REGENERATE_UNDER_C9,"Do not use as account input."
04_research/realtime_stock_picker_phase5r/phase5r_c5_research_queue.csv,generated_csv,active,"IOT 29.59%; RBRK 17.75%; candidates marked active_sleeve_above_target",Controls C5 research order,"Current-position priority and candidate portfolio context inherit stale weights",yes,REGENERATE_UNDER_C9,"Company research universe may remain."
04_research/realtime_stock_picker_phase5r/phase5r_c5_company_research_packets.csv,mixed_research_csv,active,"Hardcoded 29.59% 17.75% and 47.34% risk text; fixed portfolio-fit scores and labels",Feeds weekly conviction scoring,"Valid company evidence is mixed with obsolete portfolio fit and action framing",yes,REGENERATE_PORTFOLIO_FIELDS,"Preserve fresh primary-source evidence fields."
04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv,generated_csv,active,"Portfolio-fit scores and labels derived from above-target sleeve and above-8% positions",Feeds C5T C6 and C7,"Weekly scores and candidate eligibility are distorted by stale portfolio state",yes,REGENERATE_UNDER_C9,"Recalculate portfolio-fit component before total score and label."
04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv,generated_csv,active,"IOT 29.59%; RBRK 17.75%; both trim_review above_hard_cap",Feeds C5T C6 and C7,"Directly drives current-position action wording",yes,REGENERATE_UNDER_C9,"Generate dynamically from reconciled account state and research."
04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv,generated_csv,active,"Candidate portfolio fit and eligibility inherit active_sleeve_above_30_pct",Feeds C6 and C7,"May incorrectly block or label new cash deployment",yes,REGENERATE_UNDER_C9,"Funding source and cash deployment must become account-aware."
04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_memo.md,generated_markdown,active,"17.75% 29.59% above-8% positions and above-30% sleeve",Primary weekly decision memo,"Communicates obsolete concentration and recommended actions",yes,REGENERATE_UNDER_C9,"Research facts may be reused only after freshness review."
05_risk_and_positions/phase5r_c5t_trim_scenario_table.csv,generated_csv,active,"1000 USD account; 29.59% 17.75% 47.34%; 30% 8% and 6% scenarios calculated on old denominator",C5T scenario source for plan and C6,"All target dollars share quantities released cash and remaining weights are stale",yes,REGENERATE_UNDER_C9,"Do not use for current decisions."
05_risk_and_positions/phase5r_c5t_hold_vs_trim_checklist.csv,generated_csv,active,"Current-position baselines and trim framing derive from stored position_pct",C5T manual decision checklist,"Can prompt an unnecessary or mis-sized concentration response",yes,REGENERATE_UNDER_C9,"Policy threshold text can remain."
05_risk_and_positions/phase5r_c5t_next_review_triggers.csv,generated_csv,active,"Position_pct baselines plus active_sleeve=47.34%",C5T and C6 trigger source,"Trigger state is obsolete",yes,REGENERATE_UNDER_C9,"Add account-state reconciliation and cash triggers under C9."
05_risk_and_positions/phase5r_c5t_manual_action_plan.md,generated_markdown,active,"1000 USD; 47.34%; IOT 29.59%; RBRK 17.75%; old 30% 8% 6% and whole-share scenarios",Selected manual planning source for C6,"Scenario comparison and no-action framing rely on obsolete denominator",yes,REGENERATE_UNDER_C9,"C9A does not select a replacement action."
04_research/realtime_stock_picker_phase5r/phase5r_c5t_manual_action_report.md,generated_markdown,active,"Practical finding explicitly depends on 1000 USD assumption",C5T human-readable report,"Whole-share cap conclusion is stale",yes,REGENERATE_UNDER_C9,"Retain manual-only boundary."
07_automation/email_briefs/phase5r_c6_weekly_email_subject.txt,generated_text,active,"Eligible and position-review counts derive from stale C5 labels",Current C6 subject,"Can signal an obsolete decision summary",yes,REGENERATE_UNDER_C9,"No email should be sent during regeneration verification."
07_automation/email_briefs/phase5r_c6_weekly_email_body.txt,generated_text,active,"IOT 29.59%; RBRK 17.75%; sleeve 47.34%; old cash-release and share scenarios",Current plain-text weekly brief,"Would email obsolete weights and action context",yes,REGENERATE_UNDER_C9,"D3 maintenance inhibit blocks delivery."
07_automation/email_briefs/phase5r_c6_weekly_email_body.html,generated_html,active,"HTML mirrors stale C5/C5T weights labels sleeve and scenarios",Current HTML weekly brief,"Would email obsolete portfolio state",yes,REGENERATE_UNDER_C9,"Regenerate in lockstep with text."
07_automation/email_briefs/phase5r_c6_email_metadata.csv,generated_csv,active,"primary scenario position labels candidate counts and sources inherit the stale chain",Controls C6 send metadata,"Could authorize packaging of obsolete content",yes,REGENERATE_UNDER_C9,"Sender configuration itself is unchanged."
