registry_id,path_spec,path_kind,category,active_role,allowed_readers,contains_current_positions,allowed_as_active_input,decision_freshness,notes
AI-001,00_project_control/active_decision_state.yaml,exact,project_control,authoritative workflow state,phase5r_daily,no,yes,current,Must be validated before decision-facing reads.
AI-002,05_risk_and_positions/current_account_state.local.json,exact,current_account,only current account-state source,phase5r_daily;C9,yes,yes,current_gitignored,Local private account state only.
AI-003,05_risk_and_positions/current_positions.local.csv,exact,current_positions,only current position source,phase5r_daily;C9,yes,yes,current_gitignored,No historical holding file is authoritative.
AI-004,06_execution_records/manual_executions.local.csv,exact,manual_execution_record,manual execution evidence,phase5r_daily;C9,yes,yes,current_gitignored,Read-only reconciliation input; no execution authority.
AI-005,06_execution_records/pending_execution_report.csv,exact,execution_reconciliation,pending manual execution conflicts,phase5r_daily;C9,yes,yes,current,Any unresolved row blocks action review.
AI-006,06_execution_records/reconciliation_report.csv,exact,execution_reconciliation,confirmed reconciliation state,phase5r_daily;C9,yes,yes,current,Only applied reconciliations clear conflicts.
AI-007,03_source_data/equity_research/universe_seed.csv,exact,public_market_data,canonical Phase 5R universe,B2;phase5r_daily,no,yes,canonical,Universe input only.
AI-008,03_source_data/equity_research/market_data_snapshot.csv,exact,public_market_data,current market snapshot,B2;C9;phase5r_daily,no,yes,current_run,Context-grade until licensed action-grade receipts exist.
AI-009,03_source_data/equity_research/market_data_quality_report.csv,exact,public_market_data,market quality gate,B2;C9;phase5r_daily,no,yes,current_run,Missing or stale rows remain explicit.
AI-010,03_source_data/equity_research/candidates_with_market_data.csv,exact,public_market_data,current candidate observations,B2;C9;phase5r_daily,no,yes,current_run,No transaction authority.
AI-011,03_source_data/equity_research/signal_scores.csv,exact,public_market_data,current deterministic signals,B2;C9;phase5r_daily,no,yes,current_run,Signals are evidence rather than orders.
AI-012,03_source_data/equity_research/daily_evidence_ledger.csv,exact,official_evidence,append-only official evidence ledger,phase5r_daily;deterministic_packet,no,yes,append_only,Source URLs timestamps and hashes required.
AI-013,03_source_data/equity_research/daily_evidence_status.json,exact,official_evidence,current evidence coverage gate,phase5r_daily;deterministic_packet,no,yes,current_run,Per-ticker coverage and freshness.
AI-014,03_source_data/equity_research/daily_fundamentals.csv,exact,official_evidence,current SEC XBRL fundamentals,phase5r_daily;deterministic_packet,no,yes,current_run,Official source-derived fundamentals.
AI-015,03_source_data/equity_research/sec_submission_acceptance_index.json,exact,official_evidence,SEC acceptance-time index,phase5r_daily;deterministic_packet,no,yes,current_run,Point-in-time availability authority.
AI-016,03_source_data/equity_research/sec_filing_artifact_index.json,exact,official_evidence,local SEC artifact manifest,phase5r_daily;deterministic_packet,no,yes,current_run,Artifacts remain source and hash bound.
AI-017,04_research/company_research/*.csv,pattern,deterministic_decision,C9 account-aware outputs,phase5r_daily;daily_composer,yes,yes,current_run,C9 remains canonical risk and eligibility authority.
AI-018,05_risk_and_positions/*.csv,pattern,portfolio_state,C9 portfolio and action-review state,phase5r_daily;daily_composer,yes,yes,current_run,Manual-execution boundary remains mandatory.
