relative_path,classification,classification_reason,file_kind,phase_tokens,touch_categories,recommended_next_step
.DS_Store,DELETE_CANDIDATE,Generated local cache/OS metadata; safe deletion should be confirmed separately.,macos_metadata,,,Do not delete now; confirm and remove only after human approval.
.git/HEAD,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/config,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/description,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/applypatch-msg.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/commit-msg.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/fsmonitor-watchman.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/post-update.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/pre-applypatch.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/pre-commit.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/pre-merge-commit.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/pre-push.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/pre-rebase.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/pre-receive.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/prepare-commit-msg.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/push-to-checkout.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/sendemail-validate.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/hooks/update.sample,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/info/exclude,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/objects/42/5f1ac1077784ebcf2f8127035048708b12987f,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/objects/4b/825dc642cb6eb9a060e54bf8d69288fbee4904,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/objects/60/adbe17bd45eee44e0d50b4956539f048e0017f,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/objects/65/e813e43fda1a9a86a8b702b45e83c3188a811c,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/objects/66/ebe5260b0fa6cae248577fe0ab3e32000ef807,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/objects/68/06f17f76e0aa28b689fb3164a585ace9583b3b,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/objects/80/6f63d9b8047e12aeaf066371c9f655ca2f2999,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.git/refs/codex/turn-diffs/checkpoints/02430b8373d3f93b682c891c41b9a7166cd3eefa3a8489cb5d965eaf7e85eafe/24c0d06aab44d2429ab95e6f2366626cc943dc970977c1328609c0f56f5d3f4c/1783130552306/858148de-9f96-457a-a0b7-17e462a2db85,KEEP,"Git repository metadata; inventory only, no cleanup action proposed.",git_internal,,,Preserve in place or migrate only as part of approved canonical restructure.
.gitignore,KEEP,Top-level project documentation/configuration.,other,,email_drafts,Preserve in place or migrate only as part of approved canonical restructure.
00_rules/brokerage_boundary.md,KEEP,Canonical policy/rule document.,document,,trade_logs,Preserve in place or migrate only as part of approved canonical restructure.
00_rules/data_source_policy.md,KEEP,Canonical policy/rule document.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
00_rules/manual_approval_policy.md,KEEP,Canonical policy/rule document.,document,,risk_rules,Preserve in place or migrate only as part of approved canonical restructure.
00_rules/risk_policy.md,KEEP,Canonical policy/rule document.,document,,risk_rules,Preserve in place or migrate only as part of approved canonical restructure.
00_rules/source_policy.md,KEEP,Canonical policy/rule document.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
00_rules/trading_checklist.md,KEEP,Canonical policy/rule document.,document,,risk_rules,Preserve in place or migrate only as part of approved canonical restructure.
01_universe/phase2b_candidate_source_log.md,MIGRATE,Universe support artifact should be normalized under canonical universe structure.,document,phase2b,risk_rules,Map to canonical destination; move only in a later approved phase.
