ticker,action_label,entry_zone_reference,invalidation_reference,stop_reference,take_profit_reference,suggested_position_pct,max_loss_pct_of_account,reason,risks,manual_confirmation_required,broker_connection_allowed,real_order_allowed_by_script,old_holding_data_used
AMD,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; high volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
AMZN,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cloud software Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
ARM,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; high volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
ASML,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Semiconductors Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
AVGO,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
CRM,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cloud software Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
CRWD,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cybersecurity Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; high volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
DDOG,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cloud software Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; high volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
DLR,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Data centers Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
EQIX,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Data centers Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
GOOGL,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
META,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
MSFT,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cloud software Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; low volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
MU,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; high volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
NET,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cybersecurity Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; high volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
NOW,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cloud software Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
NVDA,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; high volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
ORCL,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cloud software Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
PANW,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cybersecurity Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
QQQ,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Benchmark ETF Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; medium volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
SMCI,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Data centers Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; very_high volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
SNOW,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Cloud software Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; high volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
SPY,insufficient_data,No entry; read-only market data is insufficient.,Provide manual CSV fallback data or wait for public market adapter availability.,Not applicable.,Not applicable.,0.00,0.00,Benchmark ETF Phase 5R-B score 0.00 using manual_csv_fallback_missing with insufficient_data quality.,"Read-only market data may be stale or incomplete; low volatility tier; human must review liquidity, news, spread, and market regime.",yes,no,no,no
